file,duration,subtitle
"E:\篮球计分统计vibecoding项目\黑客松参赛区\最终提交材料\demo_video_assets\frames\01_title_pain.png",18,"基层篮球技术台人手少、容易漏记错记；本项目把计分、同步、签字和归档放进一个微信小程序闭环。"
"E:\篮球计分统计vibecoding项目\黑客松参赛区\最终提交材料\demo_video_assets\frames\02_architecture.png",14,"架构采用微信小程序加云开发：前端负责操作体验，云函数负责建赛、解析、确认和归档，云数据库负责实时同步。"
"E:\篮球计分统计vibecoding项目\黑客松参赛区\最终提交材料\demo_video_assets\frames\03_create_player.png",14,"创建比赛时，球员名单不再要求多行文本格式，而是用添加球员弹窗分别录入号码和姓名。"
"E:\篮球计分统计vibecoding项目\黑客松参赛区\最终提交材料\demo_video_assets\frames\04_audience_join.png",14,"观众加入只需要房间码，进入后看到实时比分和最新事件，但没有技术台操作按钮。"
"E:\篮球计分统计vibecoding项目\黑客松参赛区\最终提交材料\demo_video_assets\frames\05_nl_confirm.png",17,"技术员用自然语言录入，系统解析出事件类型、队伍、球员和分值，再由技术员确认入账。"
"E:\篮球计分统计vibecoding项目\黑客松参赛区\最终提交材料\demo_video_assets\frames\06_event_updates.png",17,"确认后的事件会进入流水，并自动驱动比分、犯规、暂停和逐节比分状态。"
"E:\篮球计分统计vibecoding项目\黑客松参赛区\最终提交材料\demo_video_assets\frames\07_finished.png",14,"完整比赛可以跨节记录。测试场景中完成四节和十九条自然语言事件，最终比分白队八比六蓝队。"
"E:\篮球计分统计vibecoding项目\黑客松参赛区\最终提交材料\demo_video_assets\frames\08_signature.png",14,"双方队长在小程序里完成签字，签字图片进入云存储，并和比赛归档记录绑定。"
"E:\篮球计分统计vibecoding项目\黑客松参赛区\最终提交材料\demo_video_assets\frames\09_archive_exports.png",14,"归档时同时生成 HTML、JSON 和中文 PDF 三类材料，覆盖查看、复盘和正式留档。"
"E:\篮球计分统计vibecoding项目\黑客松参赛区\最终提交材料\demo_video_assets\frames\10_report.png",14,"中文归档报告能展示球队逐节得分，也能展示球员个人得分和犯规统计。"
"E:\篮球计分统计vibecoding项目\黑客松参赛区\最终提交材料\demo_video_assets\frames\11_debug.png",14,"开发过程中用测试和真实反馈持续 Debug，最终六个测试文件、二十一个用例全部通过。"
"E:\篮球计分统计vibecoding项目\黑客松参赛区\最终提交材料\demo_video_assets\frames\12_closing.png",8,"项目由 i坤队 solo 完成，仓库地址是 GitHub 上的 INTERPUT/basketball-scorekeeper-miniapp。"
